id,name,label,superclass,classification,subclass,family,distribution,designer,weight,rg,extra condensed,compressed,condensed,wide,extra wide,display,caption,soft,character,cap48,x48,xheight,counter,adjust,about,history,usage,whattheysay,link,pairing,google,stylesheet,100 Greatest Fonts,Google Ranking,Typewolf Google,Typewolf Adobe,100 Greatest Score,Google Ranking Score,Typewolf Google Score,Typewolf Adobe Score,Good Fonts Table,Score,Quality,Utility,Underrated Boost,In Use Boost,Rating,Year,Vibe,inuse,status
28,EB Garamond,EB Garamond,Serif,Old Style,Garamond,,Google,Georg Duffner;Octavio Pardo;Claude Garamond,400..800;400..800i,400..800;400..800i,,,,,,,,,3,31.5,19.5,1.62,74%,0.940298507462687,"EB Garamond is intended to be an excellent, classical, Garamond. It is a community project to create a revival of Claude Garamont’s famous humanist typefaces from the mid-16th century. This digital version reproduces the original design by Claude Garamont closely: The source for the letterforms is a scan of a specimen known as the “Berner specimen,” which was composed in 1592 by Conrad Berner, the son-in-law of Christian Egenolff and his successor at the Egenolff print office. This specimen shows Garamont’s roman and Granjon’s italic types at different sizes. Hence the name of this project: Egenolff-Berner Garamond.   Why another Garamond? That typeface is a key moment in the history of typography, and European type designers have been reacting to this work ever since. It is probably the most revived typeface in the world and many are excellent. In the world of free/libre culture, however, only a few Garamond-inspired types exist, and none share the scope of this project.   In November 2019, the family has been updated to a variable font family.   This project is led by Georg Duffner, and developed at github.com/georgd/EB-Garamond","A very high quality free Garamond. Has slightly different proportions to other Garamonds so looks slightly different at smaller sizes. At larger sizes, its clear that the straight parts of the letters are gently curved - this effect might be desirable or not. Overall, as classy and sophisticated as the Adobe version, although it has a similar x-height so look for other fonts that match the mood rather than proportions.",,,https://fonts.google.com/specimen/EB+Garamond,Futura;Neuzeit;Johnston,,,,27,,,,27,,,15,24,6,7,,5,71,1530,Elegant,Tattler,
29,Europa,Europa,Sans,Geometric,Futura,,Adobe,Fabian Leuenberger,300;300i;400;400i;700;700i,300;300i;400;400i;700;700i,,,,,,,,,3,33.5,22,1.52,,1,"Europa is a modern sans serif combining geometric reduction and humanistic vitality. Despite the distinct geometrical touch and characterful roughness, it can be used for both text and headline purposes, due to optical modulation rather than metrical construction. Its name refers to the inspirational origins, two popular European typefaces: the geometrical Futura and the humanistic Gill Sans.",Europa is a geometric sans designed by Fabian Leuenberger in 2011. It combines the geometric shapes of Futura with the proportions Gill Sans.,"Europa is a true workhorse and despite the popularity of this class, it is a little underused. It is also a bit of a chameleon - it can be classy and sophisticated or clean and friendly depending on the circumstances and overall brand. Its also a good fallback to have if Futura or Gill Sans are not working in your design.","Europa is a modern sans serif combining geometric reduction and humanistic vitality… Its name refers to the inspirational origins, two popular European typefaces: the geometrical Futura and the humanistic Gill Sans.",https://fonts.adobe.com/fonts/europa,Johnston;Garamond;Caslon;Times,Jost,tap5faa,,,,,,,,,,0,10,10,10,10,120,,,Belvedere Museum;Design Milk,
30,Eurostile,Eurostile,Sans,Geometric,Eurostile,,Adobe,Aldo Novarese;URW Type Foundry,400;400i;500;500i;700;700i;800;800i;900;900i,400;400i;500;500i;700;700i;800;800i;900;900i,,,,,,,,,2,32,23.5,1.36,,0.955223880597015,,,,,https://fonts.adobe.com/fonts/eurostile,NeoGrotesque;Meta;MetaSerif;,,uic0rgw,33,,,,6,,,,,12,10,10,10,,122,1962,Technical,,
31,FF Meta Web Pro,Meta Pro,Sans,Humanist,Meta,Meta,Adobe,Erik Spiekermann;FontFont,100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;900;900i,100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;900;900i,,,100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;900;900i,,,,FF Meta Correspondence Web P-400;400i;700;700i,,4,33,23.5,1.40,79%,0.985074626865672,"A famous corporate humanist sans. Highly opinionted letter forms, but medium x height means it pairs well with other fonts including Grotesques, Proxima and DIN-style geometrics and contemporary and slab serifs.",Meta (also known as FF Meta) is a humanist sans serif designed by Erik Spiekermann as an unused commission for Deutsche Bundespost. It was commercially released by FontFont in 1991. It was designed to be the “complete antithesis” of Helvetica and went on to become a very popular font for print design and corporate branding in the 1990s.,"Meta is another font from the 1990s whose popularity in print and branding hasn’t quite translated into digital design, and is now probably a little underrated. Has the antithesis to Helvetica, its letterforms are highly opinionated but it is still useful in a range of contexts from long form copy to displaying data. Also comes in a “correspondence” size if something simpler is required and has a matching serif.",,https://fonts.adobe.com/fonts/ff-meta,MetaSerif;,Fira Sans,wlp2bua,18,,,,10,,,,15,35,10,8,,5,120,1991,Neutral,Human Rights Watch,
32,Figtree,Figtree,Sans,Geometric,Proxima,,Google,Erik Kennedy,300..900;300..900i,300..900;300..900i,,,,,,,,,2,33.5,24,1.40,52%,1,"Figtree is a clean yet friendly geometric sans serif font for usage in web and mobile apps. It's light-hearted and crisp when used for text, yet still retains some punch when used in uppercase – perfect for buttons and short labels. The thicker weights have a distinctly friendlier character, great for headlines of more personable brands. <br/>Figtree comes as a variable font with 7 legacy weights, light through black, and supports 280+ Latin languages. In November 2022, the italic style is added to complete the family. <br/>To contribute, see github.com/erikdkennedy/figtree.",Figtree is a geometric sans serif designed by Erik Kennedy and first released in 2022. Erik Kennedy is behind the LearnUI and LearnUX courses and this font was designed with UI design applications in mind.,"Figtree is a great all-rounder in a popular style. Its a simpler and cleaner than Proxima, works better for long form copy than Montserrat and shines when used for data-driven applications. As a new release, it is currently under utilised, but will soon become a go-to for designers looking for a high quality, open-source workhorse in this class.","Figtree is a clean yet friendly geometric sans serif font for usage in web and mobile apps. It's light-hearted and crisp when used for text, yet still retains some punch when used in uppercase – perfect for buttons and short labels. ",https://fonts.google.com/specimen/Figtree,Frutiger;Johnston;Meta;Franklin;Blake;MetaSerif;,,,,39,,,,15,,,,5,9,10,10,5,115,2022,Neutral,Parents,"Retain (Free, high quality, underrated)"
33,Fira Mono,Fira Mono,Mono,HumanistMono,Mono,Fira,Google,Carrois Apostrophe,400;500;700,400;500;700,,,,,,,,,4,33,25,1.32,80%,0.985074626865672,"Designed to integrate with the character of the FirefoxOS, the Fira typefaces also aim to cover the legibility needs for a large range of handsets varying in screen quality and rendering.<br/><br/>The Fira font family comes in a Sans Serif with 4 weights (Light, Regular, Medium and Bold) all accompanied by italic styles. The package also includes this Mono Spaced variant with 3 weights (Regular, Medium, Bold.)<br/><br/>See the Mozilla FirefoxOS Style Guide for more details.",,,,https://fonts.google.com/specimen/Fira+Mono,Meta;,,,,49,,,,5,,,15,16.6666666666667,8,4,,,49,2013,Neutral,,REVIEW
34,Fira Sans,Fira Sans,Sans,Humanist,Meta,Fira,Google,Carrois Apostrophe,100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900;900i,100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900;900i,100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900;900i,,100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900;900i,,,,,,4,33,25,1.32,84%,0.985074626865672,"<br/>Designed to integrate with the character of the Mozilla FirefoxOS, the Fira typefaces also aim to cover the legibility needs for a large range of handsets varying in screen quality and rendering.<br/><br/><br/>The Fira font family comes in 3 widths, all accompanied by italic styles. <br/>The package also includes a Mono Spaced variant.<br/><br/><br/>This project is led by Carrois, a type foundry based in Berlin. <br/>To contribute, see github.com/mozilla/Fira<br/>","Fira Sans is a humanist sans serif designed by Carrois Apostrophe and released in 2013. It was commissioned by Mozilla for the Firefox OS and is a derivation of FF Meta, which was Firefox’s brand font at the time. Although Firefox OS was discontinued, Fira Sans remains a popular Open Source font.","Fira Sans, like Meta, has a highly opinionated character set. Despite this, it is still has plenty practical applications in UI design. Compared to Meta, its letterforms are chunkier and a little ungainly, which might be a benefit in certain applications.",The Fira typefaces also aim to cover the legibility needs for a large range of handsets varying in screen quality and rendering.,https://fonts.google.com/specimen/Fira+Sans,MetaSerif;,,,,15,8,,,39,16,,15,44,8,7,,15,115,2013,Neutral,Bund DE;CARE;Imperial College,
35,Franklin Gothic,Franklin Gothic URW,Sans,Grotesque,Franklin,,Adobe,URW Type Foundry;Morris Fuller Benton,300;300i;400;400i;500;500i;700;700i;900;900i,urw-300;300i;400;400i;500;500i;700;700i;900;900i,ext comp urw-400;700,urw comp-400;400i;700;700i,urw cond-400;400i;500;500i;700;700i,,,,,,2,32,23.5,1.36,33%,0.955223880597015,Classic Gothic typeface. A little difficult to pair except with other Gothics and not that great for body copy. Still a great choice if you want to project a classic American brand.,"Franklin Gothic is a grotesque sans designed by Morris Fuller Benton in 1902 and was the first of the popular gothic class. Like other grotesques of this time, it started out of a bold typeface for headlines and signage, although a full range of weights and widths was eventually developed. There are many digital versions of Franklin Gothic and one of the best is from the German type foundry URW.","Franklin Gothic remains a popular typeface. Although there are other more recent gothics that have been designed for digital, Franklin is still a great choice when you want a sans serif that looks dependable and distinctively American. The gothics were designed to work together, so it can easily be paired with others from this class without clashing. ",,https://fonts.adobe.com/fonts/franklin-gothic-urw,Franklin;Blake;MetaSerif;,Libre Franklin,qxw5oqh,12,,,11,13,,,16,,42,10,7,,15,127,1903,Neutral,Huckberry;Rotten Tomatoes;ArtForum,
36,Fraunces,Fraunces,Serif,Contemporary,Windsor,,Google,Undercase Type;Phaedra Charles;Flavia Zimbardi;language fraunces.undercase.xyz ,100..900;100..900i,100..900;100..900i,,,,,,,,,9,33.5,22,1.52,29%,1,"<br/>Founded in 2020, Undercase Type is a type foundry headed by Phaedra Charles and Flavia Zimbardi with a particular interest in variable fonts.<br/><br/><br/>Twitter | <br/>Instagram | <br/>undercase.xyz<br/>","Although referred to as an “old-style”, Fraunces is a throwback to classic display typefaces like Windsor and Souvenir. It looks great as a quirky larger font for identity but also looks surprisingly great at smaller sizes too. Try pairing with a geometric like Jost or a Johnston-style humanistlike Calluna Sans, for that vintage-meets-modern feel.",,,https://fonts.google.com/specimen/Fraunces,Johnston;Futura;Blake;,,,,47,16,,,7,12,,,14.3333333333333,9,8,,5,91,2020,Quirky,University of Melbourne,
37,Freight Neo,Freight Neo,Sans,Humanist,Optima,Freight,Adobe,Joshua Darden;The Freight Collection,300;300i;400;400i;500;500i;600;600i;700;700i;900;900i,Pro-300;300i;400;400i;500;500i;600;600i;700;700i;900;900i,,,,,,,,,3,30,22,1.36,81%,0.895522388059701,N/A,"A calligraphic humanist sans similar to Optima. Like the rest of the Freight it is well featured but a little delicate. Works well with the rest of the Freight family and contemporary serifs, but struggles to pair with most other sanses.",,,https://fonts.adobe.com/fonts/freight-neo,Caslon;Times;Johnston;,Proza Libre,fmc7gnx,,,,39,,,,2,15,17,10,8,,,97,2005,Neutral,,"Retain (High quality, paired)"
38,Freight Sans,Freight Sans,Sans,Humanist,Johnston,Freight,Adobe,Joshua Darden,300;300i;400;400i;500;500i;600;600i;700;700i;900;900i,Pro-300;300i;400;400i;500;500i;600;600i;700;700i;900;900i,,Pro-300;300i;400;400i;500;500i;600;600i;700;700i;900;900i,Pro-300;300i;400;400i;500;500i;600;600i;700;700i;900;900i,,,,,,3,30,22,1.36,90%,0.895522388059701,,"Freight Sans is a humanist sans from the Freight Collection, designed by Joshua Darden, that also includes Freight and Freight Neo. The family was first released in 2005, and now encompasses 156 fonts.","Freight Sans is another excellent workhorse from the Freight Collection. It is reminiscent of Gill Sans and other similar fonts (Scala Sans, Syntax). However, it was designed for digital rather than print, and it has higher x-heights and open apertures which make it great for setting body copy. It naturally pairs with the rest of the Freight Collection, and like the other fonts in this family it sits a little light - try raising the font size and weight to get the right overall color. ","Modern without being cold, sleek without being sterile, Freight Sans is an invitingly readable humanist sans serif for creating order in your next project. ",https://fonts.adobe.com/fonts/freight-sans,Franklin;Baskerville;Times;,Gill Sans,noz2waz,,,,39,,,,1,15,16,10,10,,15,131,2005,Neutral,Lapham’s Quarterly;Kennedy Center;Cornell University Press,
39,Freight,Freight,Serif,Transitional,Times,Freight,Adobe,Joshua Darden,300;300i;400;400i;500;500i;600;600i;700;700i;900;900i,Text Pro-300;300i;400;400i;500;500i;600;600i;700;700i;900;900i,,Text Compressed Pro-300;300i;400;400i;500;500i;600;600i;700;700i;900;900i,,,,Display Pro-300;300i;400;400i;500;500i;600;600i;700;700i;900;900i,Micro Pro-300;300i;400;400i;500;500i;600;600i;700;700i;900;900i,,3,30,21.5,1.40,46%,0.895522388059701,"The Freight Collection comprises a compelling array of intertwined typeface families ready to add unique style to any project. What Joshua Darden started as a serif family inspired by the warmth and pragmatism found in 18th-century Dutch typefaces now ranges across multiple weights, widths, and optical sizes — from Big, Display, Text, Micro, Macro, and Sans — all of which include companion italics. That’s 156 fonts that can be bold and daring as effortlessly as they can be quiet and unassuming.
","Freight is the key member of the Freight Collection, designed by Joshua Darden, that also includes Freight Sans and Freight Neo. It was first released in 2005, and now encompasses 156 fonts. It was inspired by the transitional Dutch typefaces of the 18th Century, such as those designed by Joan Michaël Fleischman. In particular, the high x-heights of these designs translate well for digital design.","Freight is a good workhorse font that comes in a range of display sizes, widths and weights. The family also includes two serif variants so there is plenty of scope to build a design system around this font. It naturally pairs with the rest of the Freight Collection, and like the other fonts in this family it sits a little light - try raising the font size and weight to get the right overall color. ",The Freight Collection comprises a compelling array of intertwined typeface families ready to add unique style to any project. ,https://fonts.adobe.com/fonts/freight-text,NeoGrotesque;Franklin;Frutiger;Johnston;Meta;Optima;,Source Serif 4,kjk1wqx,,,,39,,,,4,15,19,10,10,,15,134,2005,Neutral,Huckberry;Ferm Living;Conde Nast Traveller,
40,Futura PT,Futura PT,Sans,Geometric,Futura,Futura PT,Adobe,Paul Renner;Isabella Chaeva;Vladimir Andrich;Vladimir Yefimov,300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;,300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;,,,400;400i;500;500i;700;700i;800;800i,,,,,,2,32,20,1.60,85%,0.955223880597015,,"Futura is a geometric sans serif from the early 20th Cetnury that remains popular in UI and web design. Futura was designed by Paul Renner for Bauersche Gießerei (Bauer) in 1927 and is aesthetically similar to the Bauhaus and constructivist styles of the era. It is technical enough for labelling the interface of Apollo 11 moon landing while being elegant enough grace the cover of a fashion magazine. Its geometric forms place it in the machine age, but it is feels familiar enough for branding your neighbourhood bakery or bookstore. And from control panels to storefront signage, it looks good at every size.",Although Futura has some limitations in digital design - it has a very low x-height for instance - a skilled designer can make it work in a number of contexts and it looks particularly good set in uppercase. You can play up to its historical character by pairing it with other older typefaces like Garamond or Bodoni.,"Futura is a classic geometric sans serif, one of the crucial typefaces of the 20th century. It remains relevant today and is widely used in logos, headings, web and print.",https://fonts.adobe.com/fonts/futura-pt,,Jost,ssn0ejn,5,,,1,15,,,23,15,68,10,8,,15,163,1927,Elegant,Asos;Mon Concept Habitation;Ableton,
41,Gelasio,Gelasio,Serif,Transitional,Times,,Google,Eben Sorkin,400;400i;500;500i;600;600i;700;700i,400;400i;500;500i;600;600i;700;700i,,,,,,,,,1,33,23,1.43,,0.985074626865672,"Gelasio is an original typeface that is metrics compatible with Georgia in its Regular, Bold, Italic and Bold Italic weights. Its design was inspired by an original printed sample of a French Transitional typeface which follows the Romain Du Roi typeface introduced in 1702.
As a transitional type, it is marked by an interest in rational planning and it has a tension between rigor and expression. It feels generally formal and rational but its rounded terminals make it more contemporary and friendly. It also offers an occasional flourish, especially in the italics.
The June 2022 update offers an major language support update.
In March 2024, the glyph set for GF Africa Pri has been enhanced with improved diacritics, along with the addition of some other basic language support from the 'Beyond' glyph set. Updates were also made to currency symbols, other symbols, spaces, and NSM localization.
To contribute, see github.com/SorkinType/Gelasio.
",,,,https://fonts.google.com/specimen/Gelasio/,NeoGrotesque;Franklin;Frutiger;Johnston;Meta;Optima;Neuzeit;Proxima;,,,,,,,,1,,,,0.333333333333333,9,10,10,5,105,2022,Neutral,Merge Records,
42,Gelica,Gelica,Serif,Contemporary,Windsor,,Adobe,Dave Rowland,200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;900;900i,200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;900;900i,,,,,,,,,7,32.5,24,1.35,,0.970149253731343,,,,,https://fonts.adobe.com/fonts/gelica,Johnston;Futura;Blake;,,bim2uyh,,,,,,,,,,0,10,9,10,,100,2020,Quirky,,
43,GeorgiaPro,Georgia Pro,Serif,Transitional,Times,,Adobe,Matthew Carter;Tom Rickner;Steve Matteson,300;300i;400;400i;600;600i;700;700i;900;900i;300;300i;400;400i;600;600i;700;700i;900;900i,300;300i;400;400i;600;600i;700;700i;900;900i;300;300i;400;400i;600;600i;700;700i;900;900i,,,300;300i;400;400i;600;600i;700;700i;900;900i;300;300i;400;400i;600;600i;700;700i;900;900i,,,,,,0,33,23,1.43,39%,0.985074626865672,"A common websafe font, Georgia is an excellent font in its own right and looks great for longform body copy. Available in a “pro” version on Adobe that adds additional weights, the semi-bold is a particular improvement on the standard bold. With a moderate x-height and overall neutral feel, Georgia can easily be paired with a range of humanist, grotesque, gothic or geometric sans serifs.","Georgia is a transitional serif that was designed by Matthew Carter in 1993 and in 1996 it was included in Microsoft’s Core Fonts for the Web. It has a high x-height and was specifically designed for reading long passages of text on screens. Unlike the other fonts from this collection, it remains a popular choice and a Pro version was released in 2010 that added additional weights.","Despite its legacy as a “web safe” font, Georgia still looks great and is still one of the best choices for longform copy. The Pro version adds a number of highly usable alternative weights and the new semibold weight is more appealing at display sizes than the original bold weight. Georgia was probably the best of the original “web safe” fonts and was massively overused in the pre-webfont era, so avoid using it as your only font. However, it pairs nicely with lots of other fonts and is a nice neutral base to experiment with.","A sturdy, dependable serif typeface for optimal clarity in online reading… Georgia Pro is the familiar and trusted voice in any text setting on and off the screen.",https://fonts.adobe.com/fonts/georgia-pro,NeoGrotesque;Franklin;Frutiger;Johnston;Meta;Optima;Neuzeit;Proxima;,Georgia,tbu8cty,,,,,,,,,15,15,10,10,,15,130,1996,Neutral,Wikipedia;Politico;Mashable,
44,Gill Sans Nova,Gill Sans Nova,Sans,Humanist,Johnston,,Adobe,Eric Gill;George Ryan,200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900,200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900,ExtraCondensed-700,,200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900,,,,,,2,33,21.5,1.53,10,0.985074626865672,,"Gill Sans is a classic sans serif that blends humanist and geometric elements. It was designed by Eric Gill and was inspired by a typeface designed by his mentor Edward Johnston for the London Underground. It’s popularity has earned it the nickname “The Helvetica of England”, appearing in the branding for Penguin Books, British Rail and the BBC.","Despite its historical associations, Gill Sans remains a versatile and elegant workhorse. It is now considered “web safe” with Windows and MacOS both supporting Gill Sans. Adobe also offer Gill Sans Nova, with additional weights, widths and decorative variations. Trying using it for body text and labels, paired with a less obvious display or accent font.",Gill Sans Nova expands the much-loved Gill Sans family from 18 to 43 fonts and features a coordinated range of roman and condensed designs.,https://fonts.adobe.com/fonts/gill-sans-nova,Neuzeit;Garamond;Caslon;Baskerville;,Gill Sans,kvy4jpw,9,,,22,14,,,11,,39,10,10,,15,154,1930,Elegant,John Lewis;Normann;Moooi,
45,IBM Plex Mono,IBM Plex Mono,Mono,GrotesqueMono,Mono,IBM Plex,Google,Mike Abbink;Bold Monday,100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i,100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i,,,,,,,,,2,33.5,25,1.34,60%,1,"IBM Plex® is the corporate typeface for IBM worldwide and an open-source project developed by the IBM Brand &amp; Experience team (BX&amp;D). Plex is an international typeface family designed to capture IBM’s brand spirit and history and to illustrate the unique relationship between mankind and machine—a principal theme for IBM since the turn of the century. The result is a neutral yet friendly Grotesque style typeface that balances design with the engineered details that make Plex distinctly IBM. The family includes a Sans, Sans Condensed, Mono, and Serif and has excellent legibility in print, web, and mobile interfaces.  <br/> Plex’s three designs work well independently and even better together. Use the Sans as a contemporary compadre, the Serif for editorial storytelling, or the Mono to show code snippets. The unexpectedly expressive nature of the italics gives you even more options for your designs. Currently, IBM Plex Sans supports Extended Latin, Arabic, Cyrillic, Devanagari, Greek, Hebrew, Japanese, Korean and Thai.",,,,https://fonts.google.com/specimen/IBM+Plex+Mono,Franklin;,,,,35,,,,19,,,,6.33333333333333,8,4,,10,48,2017,Technical,IBM;Variety,
46,IBM Plex Sans,IBM Plex Sans,Sans,Grotesque,Franklin,IBM Plex,Google,Mike Abbink;Bold Monday,100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i,100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i,,,,,,,,,2,33.5,25,1.34,58%,1,"IBM Plex® is the corporate typeface for IBM worldwide and an open-source project developed by the IBM Brand &amp; Experience team (BX&amp;D). Plex is an international typeface family designed to capture IBM’s brand spirit and history and to illustrate the unique relationship between mankind and machine—a principal theme for IBM since the turn of the century. The result is a neutral yet friendly Grotesque style typeface that balances design with the engineered details that make Plex distinctly IBM. The family includes a Sans, Sans Condensed, Mono, and Serif and has excellent legibility in print, web, and mobile interfaces.  <br/> Plex’s three designs work well independently and even better together. Use the Sans as a contemporary compadre, the Serif for editorial storytelling, or the Mono to show code snippets. The unexpectedly expressive nature of the italics gives you even more options for your designs. Currently, IBM Plex Sans supports Extended Latin, Arabic, Cyrillic, Devanagari, Greek, Hebrew, Japanese, Korean and Thai.","IBM Plex Sans is a grotesque designed by Mike Abbink and Bold Monday and released in 2017. It was designed for IBM’s corporate brand and is a variation on the gothic style, similar to Franklin. However, it has been modified for IBM and gives this traditional style a modern technical feel. It has been open sourced by IBM through Google along with the rest of the IBM Plex family.","IBM Plex Sans is a high quality font with plenty of practical applications in UI and web design. IBM have done a great job of making one of the more traditional forms of sans serif’s feel technical and should be a go-to if working on a technical product. As the font for IBM’s brand identity it shouldn’t be the only font in your design system, but can be paired well with other technical font.",Plex is an international typeface family designed to capture IBM’s brand spirit and history and to illustrate the unique relationship between mankind and machine—a principal theme for IBM since the turn of the century.,https://fonts.google.com/specimen/IBM+Plex+Sans,DIN;Times;Slab;,,,,24,27,,,30,8,,15,33,8,9,,5,110,2017,Technical,IBM,
47,IBM Plex Serif,IBM Plex Serif,Serif,Contemporary,Times,IBM Plex,Google,Mike Abbink;Bold Monday,100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i,100;100i;200;200i;300;300i;400;400i;500;500i;600;600i;700;700i,,,,,,,,,2,33.5,25,1.34,36%,1,"IBM Plex® is the corporate typeface for IBM worldwide and an open-source project developed by the IBM Brand &amp; Experience team (BX&amp;D). Plex is an international typeface family designed to capture IBM’s brand spirit and history and to illustrate the unique relationship between mankind and machine—a principal theme for IBM since the turn of the century. The result is a neutral yet friendly Grotesque style typeface that balances design with the engineered details that make Plex distinctly IBM. The family includes a Sans, Sans Condensed, Mono, and Serif and has excellent legibility in print, web, and mobile interfaces.  <br/> Plex’s three designs work well independently and even better together. Use the Sans as a contemporary compadre, the Serif for editorial storytelling, or the Mono to show code snippets. The unexpectedly expressive nature of the italics gives you even more options for your designs. Currently, IBM Plex Sans supports Extended Latin, Arabic, Cyrillic, Devanagari, Greek, Hebrew, Japanese, Korean and Thai.","A contemporary serif from IBM, Plex Serif is a great choice for conveying technicality in a serif. Very similar to FF Meta Serif. It’s a little light in overall colour but works well for body text. Looks good paired with Meta-style humanist, gothics and DIN-style geometrics",,,https://fonts.google.com/specimen/IBM+Plex+Serif ,Meta;Franklin;DIN;,,,,29,,,,25,,,,8.33333333333333,8,6,10,5,71,2017,Technical,IBM,
48,Inconsolata,Inconsolata,Mono,GeometricMono,Mono,,Google,Raph Levien,200..900,200..900,,,,,,,,,2,30,22,1.36,68%,0.895522388059701,"Inconsolata was Raph Levien's first serious original font release. It is a monospace font, designed for printed code listings and the like. There are a great many “programmer fonts,” designed primarily for use on the screen, but in most cases do not have the attention to detail for high resolution rendering.  <br/> Inconsolata draws from many inspirations and sources. I was particularly struck by the beauty of Luc(as) de Groot's Consolas, which is his monospaced design for Microsoft's Vista release. This font, similar to his earlier TheSansMono, demonstrated clearly to me that monospaced fonts do not have to suck.  <br/> The development of the Regular style by Raph Levien was started in 2006 using his own Spiro-based tools and FontForge. The Bold style was designed by Kirill Tkachev and the Cyreal foundry in 2012.  <br/> Updated September 2015: Internal metadata corrected.  <br/> Updated April 2020: Family has been upgraded to a variable font family.  <br/>To contribute, see github.com/googlefonts/inconsolata.",,,,https://fonts.google.com/specimen/Inconsolata,Futura;,,,,16,38,,,38,2,,15,29.6666666666667,7,4,,,58,2009,Neutral,,REVIEW
49,Industry,Industry,Sans,Geometric,Eurostile,,Adobe,Mattox Shuler;Fort Foundry.,200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900;900i,200;200i;300;300i;400;400i;500;500i;600;600i;700;700i;800;800i;900;900i,,,,,,,,,4,33.5,26,1.29,,1,,,,,https://fonts.adobe.com/fonts/industry,NeoGrotesque;Meta;MetaSerif;,,uch8vsw,,,,,,,,,15,15,9,7,,,78,,Technical,,REMOVE
50,Inria Sans,Inria Sans,Sans,Humanist,Meta,Inria,Google,Grégori Vincens;Jérémie Hornus,300;300i;400;400i;700;700i,300;300i;400;400i;700;700i,,,,,,,,,5,32.5,24,1.35,91%,0.970149253731343,"Inria Sans and Inria Serif are the two members of a type family design for the communication of Inria, a national institute dedicated to numeric research. The Institute needed a font showing its values at the crossroad of humanity, technology, excellence and creativity. Black[Foundry] created a humanist typeface with a unapologetically contemporary design as the Sans-Serif part and a more rational drawing for the Serif. Both members come in 3 weights with matching Italics.<br/><br/>To contribute, see github.com/BlackFoundryCom/InriaFonts.","An even quirkier take on on FF Meta - check out the exaggerated lowercase ‘a’ - and it even shares its proportions. Pairs well with Grotesques, Proxima and DIN-style geometrics and contemporary and slab serifs.",,,https://fonts.google.com/specimen/Inria+Sans,NeoGrotesque;Proxima;DIN;Questa;Slab;,,,,51,,,,3,,,15,16,9,9,,,97,2019,Quirky,,"Retain (Free, high quality, underrated)"
51,Inria Serif,Inria Serif,Serif,Modern,Bodoni,Inria,Google,Grégori Vincens;Jérémie Hornus,300;300i;400;400i;700;700i,300;300i;400;400i;700;700i,,,,,,,,,6,32.5,24,1.35,38%,0.970149253731343,"Inria Sans and Inria Serif are the two members of a type family design for the communication of Inria, a national institute dedicated to numeric research. The Institute needed a font showing its values at the crossroad of humanity, technology, excellence and creativity. Black[Foundry] created a humanist typeface with a unapologetically contemporary design as the Sans-Serif part and a more rational drawing for the Serif. Both members come in 3 weights with matching Italics.<br/><br/>To contribute, see github.com/BlackFoundryCom/InriaFonts.","An open source font with its own distinct identity, Inria Serif walks the line between modern serif and humanist sans. Loads of great details to be discovered and looks surprisingly good for body copy as well as large headings. It manages to be both stylish and technical, and pairs well with DIN-style geometrics and Meta-style humanist sans.",,,https://fonts.google.com/specimen/Inria+Serif,Meta;DIN;,,,,52,,,,2,,,,0.666666666666667,9,7,10,,74,2019,Quirky,,"Retain (Free, high quality, paired)"
